Name                                     | Class                | JSON ID    | Type
--------------------------------------------------------------------------------
fecha_p1_d                               | c x3e y4e w2 h10     | field_0    | INPUT
fecha_p1_m                               | c x40 y4e w3 h10     | field_1    | INPUT
fecha_p1_a                               | c x33 y4e w4 h10     | field_2    | INPUT
empleo_solicitado                        | c x4 y4e w5 h10      | field_3    | INPUT
codigo_cargo                             | c x43 y4e w6 h10     | field_4    | INPUT
apellido_aspirante                       | c x3 y50 w7 h10      | field_5    | INPUT
nombre_aspirante                         | c xc y50 w8 h10      | field_6    | INPUT
direccion_domicilio                      | c x3 y51 w9 h10      | field_7    | INPUT
ciudad_aspirante                         | c xf y52 wa h10      | field_8    | INPUT
telefono_aspirante                       | c x3 y53 wb h10      | field_9    | INPUT
celular_aspirante                        | c xc y54 wc h12      | field_10   | INPUT
email_aspirante                          | c x3 y56 wd h10      | field_11   | INPUT
profesion_aspirante                      | c xe y57 we h10      | field_12   | INPUT
nacionalidad_aspirante                   | c x3 y58 wf h10      | field_13   | INPUT
estado_civil_aspirante                   | c x44 y58 w10 h10    | field_14   | INPUT
tiempo_experiencia_laboral               | c x45 y58 w11 h10    | field_15   | INPUT
cedula_numero                            | c x3 y5b w15 h10     | field_20   | INPUT
cedula_extranjeria_numero                | c x49 y5b w16 h10    | field_21   | INPUT
cedula_expedida_en                       | c x4a y5b w17 h10    | field_22   | INPUT
libreta_militar_numero                   | c x4b y5c w18 h10    | field_23   | INPUT
tarjeta_profesional_numero               | c x16 y62 w21 h16    | field_32   | INPUT
ciudad_mayor_parte_vida                  | c x59 y6e w2c h1d    | field_44   | INPUT
regiones_trabajado                       | c x59 y70 w2c h1f    | field_45   | INPUT
tiempo_residencia                        | c x5a y72 w2d h20    | field_46   | INPUT
obligaciones_economicas_mensuales        | c x5a y73 w2d h22    | field_47   | INPUT
aspiracion_salarial                      | c x5a y74 w2d h14    | field_48   | INPUT
field_49                                 | c x91 ye5 w2e h31    | field_49   | INPUT
field_50                                 | c x92 ye5 w2f h31    | field_50   | INPUT
field_51                                 | c x93 ye5 w30 h31    | field_51   | INPUT
field_52                                 | c x91 ye7 w31 h32    | field_52   | INPUT
field_53                                 | c x5d ye7 w32 h32    | field_53   | INPUT
field_54                                 | c x94 ye7 w33 h32    | field_54   | INPUT
field_55                                 | c x95 ye7 w34 h32    | field_55   | INPUT
field_56                                 | c x63 ye9 w35 h32    | field_56   | INPUT
field_57                                 | c x59 yea w36 h32    | field_57   | INPUT
field_58                                 | c x97 yeb w37 h31    | field_58   | INPUT
field_59                                 | c x91 yec w38 h32    | field_59   | INPUT
field_60                                 | c x92 yec w39 h32    | field_60   | INPUT
field_61                                 | c x5e yed w3a h32    | field_61   | INPUT
field_62                                 | c x5e yee w3a h32    | field_62   | INPUT
field_63                                 | c x5e yef w3a h32    | field_63   | INPUT
field_64                                 | c x5e yf0 w3a h32    | field_64   | INPUT
field_65                                 | c x91 yf1 w3b h32    | field_65   | INPUT
field_66                                 | c x92 yee w3c h32    | field_66   | INPUT
field_67                                 | c x91 yef w3b h32    | field_67   | INPUT
field_68                                 | c x92 yf0 w3d h32    | field_68   | INPUT
field_69                                 | c x92 yef w3d h32    | field_69   | INPUT
field_70                                 | c x91 yf0 w3b h32    | field_70   | INPUT
field_71                                 | c x98 yf2 w3e h34    | field_71   | INPUT
field_72                                 | c x32 yf2 w1a h34    | field_72   | INPUT
field_73                                 | c x74 yf2 w3f h34    | field_73   | INPUT
field_74                                 | c x99 yf2 w40 h34    | field_74   | INPUT
field_75                                 | c x9a yf4 w41 h36    | field_75   | INPUT
field_76                                 | c x98 yf6 w3e h32    | field_76   | INPUT
field_77                                 | c x32 yf6 w1a h32    | field_77   | INPUT
field_78                                 | c x74 yf6 w3f h32    | field_78   | INPUT
field_79                                 | c x99 yf6 w40 h32    | field_79   | INPUT
field_80                                 | c x9a yf7 w41 h32    | field_80   | INPUT
field_81                                 | c x98 yf8 w3e h31    | field_81   | INPUT
field_82                                 | c x9a yf9 w41 h38    | field_82   | INPUT
field_83                                 | c x98 yfb w3e h32    | field_83   | INPUT
field_84                                 | c x9a yfc w41 h31    | field_84   | INPUT
field_85                                 | c x98 yfd w3e h36    | field_85   | INPUT
field_86                                 | c x32 yfd w1a h36    | field_86   | INPUT
field_87                                 | c x74 yfd w3f h36    | field_87   | INPUT
